modelo,threshold,precision,recall,f1,cost_q,alertas_por_100k
A,0.0037148797871425043,0.048434442270058706,0.9834437086092715,0.0923220391669257,1071300.0,69225.55881688869
A,0.003765316840136765,0.04866459118466328,0.9834437086092715,0.09274004683840749,1066080.0,68898.17114472792
A,0.0037758440961516548,0.04872846595570139,0.9834437086092715,0.09285602626231045,1064640.0,68807.85730413186
A,0.0038137180220669587,0.04889693776753375,0.9834437086092715,0.09316185696361357,1060860.0,68570.78347256717
A,0.0038501443570140674,0.04908279623202776,0.9834437086092715,0.09349913426727531,1056720.0,68311.13118085347
A,0.0038616467207754604,0.04913151364764268,0.9834437086092715,0.09358752166377816,1055640.0,68243.39580040642
A,0.0039209213030014295,0.049368351063829786,0.9834437086092715,0.094017094017094,1050420.0,67916.00812824565
A,0.003931716754651541,0.04944231729648743,0.9834437086092715,0.094151212553495,1048800.0,67814.40505757507
A,0.0039778860389926216,0.04960748287957241,0.9834437086092715,0.09445062808077596,1045200.0,67588.62045608489
A,0.004011954752779509,0.049639443233271845,0.9801324503311258,0.09449321628092579,1045260.0,67317.67893429668
A,0.00401856069352811,0.04968110104061766,0.9801324503311258,0.09456869009584666,1044360.0,67261.23278392415
A,0.004079272212979385,0.04992410187215382,0.9801324503311258,0.09500882683357406,1039140.0,66933.84511176338
A,0.004101138285076055,0.05000844737286704,0.9801324503311258,0.09516154959009805,1037340.0,66820.95281101829
A,0.004135697109967713,0.05016949152542373,0.9801324503311258,0.09545307965172524,1033920.0,66606.45743960261
A,0.004177144351489656,0.05037440435670524,0.9801324503311258,0.09582389122693427,1029600.0,66335.51591781441
A,0.004189491112671857,0.05041730539942088,0.9801324503311258,0.09590150656082941,1028700.0,66279.06976744186
A,0.00423198628256774,0.05066757959602876,0.9801324503311258,0.09635416666666666,1023480.0,65951.68209528111
A,0.004253130792083438,0.05075445816186557,0.9801324503311258,0.09651124877730681,1021680.0,65838.78979453602
A,0.004292098586754584,0.05092035093755376,0.9801324503311258,0.09681112019623875,1018260.0,65624.29442312034
A,0.004327996260756511,0.0509675190048376,0.9768211920529801,0.09688013136288999,1018140.0,65342.06367125762
A,0.004338547960070589,0.05100276625172891,0.9768211920529801,0.09694380545514295,1017420.0,65296.906750959584
A,0.0044151601640899174,0.051259774109470024,0.9768211920529801,0.09740795773485224,1012200.0,64969.51907879882
A,0.0044274444542684145,0.051357938718662954,0.9768211920529801,0.09758518028448561,1010220.0,64845.33754797923
A,0.004455187714476655,0.05151938526021656,0.9768211920529801,0.09787657597876577,1006980.0,64642.13140663807
A,0.004495450837463237,0.05175438596491228,0.9768211920529801,0.09830056647784072,1002300.0,64348.61142470083
A,0.004505596998555026,0.05178163945936458,0.9768211920529801,0.09834972495415903,1001760.0,64314.743734477306
A,0.004584736180921133,0.05204657727593508,0.9768211920529801,0.09882747068676717,996540.0,63987.35606231655
