variable,asociacion_point_biserial_abs_train
D1,0.06363034469888074
D2,0.06283981529219787
V153,0.062169916487389856
V97,0.06146391485117852
V318,0.06033729415191888
V273,0.059771089963947796
D14,0.05949102784688207
V115,0.05924810035075928
V293,0.05868995880021538
M8,0.05732285161653933
V276,0.0573196941340118
V128,0.05673439832196707
V220,0.05670480712986388
V61,0.05643983984679178
M6,0.05617168000655278
V312,0.05608778049837271
V278,0.05534916100933012
V169,0.05533767584019307
V56,0.05488271078354329
M7,0.0544760339982114
V226,0.05342581986438391
M3,0.052871005310514294
V248,0.0522292408520345
prior_frequency_card3_v7,0.052118817012970504
V214,0.05198413578591768
M9,0.05196318197516134
V82,0.05159229944732479
D11,0.051331686819499824
V168,0.05089059515059994
D12,0.050834774483668306
amount_cents_v7,0.05080722442927707
V275,0.05037444876528269
V245,0.05000914995797256
V134,0.04994618020497763
V306,0.04988944290552879
D_std_v7,0.04921838570574051
V315,0.04897869891840782
V117,0.04897789016519258
V35,0.04890080603770843
V174,0.04853016362895229
V211,0.04830381197128519
prior_frequency_DeviceInfo_v7,0.047965084029128455
D4,0.047886895465672485
V316,0.04711449820418969
V175,0.047077012012027054
V216,0.0470757132181433
V280,0.04690950619157904
V182,0.04655751646932713
V36,0.04605132528901101
V265,0.045683625816912383
V119,0.04564069114157335
V202,0.04524475309673636
V66,0.044958344170117424
M2,0.04464778712082432
V307,0.042246904688440966
V289,0.04199462861971614
prior_frequency_P_emaildomain_v7,0.04199366310149949
V309,0.04132041904535445
V301,0.04128768478176165
V314,0.040888376942523216
V313,0.04083249851365961
V290,0.04053925677795018
V191,0.03969935995475338
card2,0.0396182311012837
V20,0.03946959205306419
V254,0.03944105775799872
V142,0.039369451110396116
V284,0.039183059208135036
V180,0.039170023315656034
V277,0.03903267999932422
V295,0.038934387917761736
V324,0.03833965265951591
V299,0.03822712860858885
V196,0.03804130425955709
V126,0.037913745825801426
id_09,0.037849997904859364
V102,0.037816450990668916
V141,0.03768562653525112
V131,0.037421330930947204
D5,0.03737726259178395
V132,0.037213388901327214
V5,0.03713474214904256
V296,0.0369470407272612
V133,0.03686346000379265
D6,0.03682062540538896
V317,0.03681471482075394
card5,0.036689656025388644
V118,0.03662397917858688
V127,0.036401820626146886
V106,0.036352262925720046
V288,0.03612816018365924
V298,0.035948864419437
D3,0.035746721647562554
V55,0.03506347739422603
V320,0.03489401215084237
C9,0.03478723881304935
id_32,0.03458094125024881
id_03,0.0343561263940636
hour_sin_v7,0.03415742580044711
C5,0.03401501572090504
V300,0.03386916620585566
P_emaildomain,0.03269048682356119
C2,0.032200102206033906
V19,0.031733764445776275
V215,0.03162616543041918
C12,0.03160585927695694
V213,0.03144021687037634
C8,0.030973211755470666
V274,0.0309590742721089
V12,0.030405656941178683
V271,0.03002994355502432
V120,0.02966501002010234
id_04,0.02945239600986605
V272,0.02880178147090029
V104,0.028713932360704502
id_05,0.028674018624759334
C10,0.02850250401229791
V187,0.02849301419204959
dist2,0.028438310784195977
C7,0.028366493549913253
V322,0.028241971182272247
C4,0.028145626069646733
V4,0.02746746456422626
V13,0.02740961448227271
V136,0.027160270252238047
C1,0.027106696543402985
V330,0.027064123449283294
V105,0.026544623697261082
V287,0.026384639555498975
V98,0.026116250404645793
id_23,0.025864070998481238
id_27,0.02584895232917488
V292,0.0255905908515277
C11,0.025546736702238077
V294,0.025515125793373897
V129,0.02551331714031657
V297,0.02485878239396708
V321,0.024523919357993883
id_11,0.024440261399614478
V328,0.024215193585491544
V122,0.02396228520418948
V75,0.023934909670270458
V323,0.023695447594699645
V150,0.023374762734164795
V327,0.022942197516540988
V210,0.02292873292148593
C_mean_v7,0.022824583809468772
V192,0.022627051444513636
V159,0.022576669380065913
V223,0.02235874145438461
V160,0.022248061832260663
V96,0.02217034421001171
V193,0.02207767386743712
V264,0.021973048911324098
V145,0.021889308082245273
V137,0.02166032789567284
V151,0.02162410041079371
id_33,0.021566571842090813
V165,0.021444270239810936
hours_since_prior_v7,0.021411974231923883
V204,0.021041507710607046
V76,0.020661665868268463
V225,0.020633073244056603
V310,0.020577429477261915
V208,0.020574618910517217
V162,0.020533386478217727
V250,0.020519448982883916
V53,0.02049322524604039
id_21,0.020426881602117225
D8,0.02012268682263657
V335,0.020068357465874192
id_34,0.01960214901653185
V291,0.01959707587782366
V270,0.01944277662031614
id_22,0.019091364896097834
C6,0.019077616878426927
V_std_v7,0.019056240301793936
V212,0.019041785599066167
V3,0.018963692855252283
V329,0.018909987857594526
V163,0.018772024920649787
id_30,0.018752254054196147
V152,0.018739991584693222
V256,0.01848950739753098
V143,0.018303859763339553
C_std_v7,0.01822974121309227
V144,0.017508969064082433
entity_prior_count_v7,0.017499137413486455
V253,0.01748983237730215
V227,0.017487385509978765
V336,0.016882235667076955
V203,0.01655790671519447
prior_frequency_card2_v7,0.01629456764766526
V100,0.01605176264753843
id_18,0.01543460166971352
V161,0.01525205546546259
id_19,0.015175672453440484
V121,0.015134642958382521
id_25,0.015066687714148815
V234,0.014941184744657405
V164,0.014710495307666155
V332,0.014659028297467935
V338,0.0138291471304931
id_26,0.013639130522977397
V54,0.013400397103098611
V26,0.012892319970955564
V339,0.012450787159386668
V333,0.012427384921969703
V286,0.01215370818040221
V_mean_v7,0.011956718828035708
V319,0.011829565088970597
card1,0.011728739898088033
M5,0.01171590862153982
id_08,0.011699906614693327
entity_prior_amt_mean_v7,0.011536543328503415
V173,0.011517886368805215
V326,0.011504900614604054
V135,0.011389943310384914
V99,0.011245210619487331
id_14,0.01107154832175797
V166,0.010924917184716706
V325,0.010444959574032091
V224,0.010121669886932888
V138,0.009738352166152715
V337,0.00951296812752456
V172,0.009282936997965499
V130,0.009258281073740673
V209,0.009080089641918181
id_24,0.009034990535900091
TransactionAmt,0.009013940297788299
V311,0.008723003317501667
amount_to_prior_mean_v7,0.008708889378903411
weekday_sin_v7,0.008701380188496212
V9,0.008603096230918315
V6,0.008489865074549883
C14,0.008404642790729673
C13,0.007809005730371662
card4,0.007569867055491207
prior_frequency_card5_v7,0.007215812776872021
C3,0.007201592113782075
V285,0.006710697182618105
D13,0.006554005868377418
V240,0.006298832237765969
V331,0.006074242373686543
V251,0.005765476036261546
dist1,0.00564323642902524
id_07,0.005558408007586624
V255,0.005510437541483715
id_10,0.005164660583469002
V268,0.0049761318159754625
V25,0.004958572165431419
V89,0.0047267652708520005
V28,0.004709589224240274
V27,0.004676924315970087
hour_cos_v7,0.004636833997762379
V205,0.003989103432719526
V41,0.003717675189702688
V207,0.003502019748860013
V68,0.0034650070485755377
D7,0.0032661825761220657
V14,0.0032313554491748588
